orbit,day,a_km,e,i_deg,raan_deg,argp_deg,periapsis_km,apoapsis_km
Elliptical lunar frozen orbit (12 h relay),0.2916666666666667,6149.355311178991,0.5988956580204593,56.99753008588835,356.15397454671074,89.86131951278139,2466.533115688843,9832.177506669137
Elliptical lunar frozen orbit (12 h relay),0.2986111111111111,6149.586533157257,0.5989258612397785,56.99734435523573,356.06230284501305,89.86032198075786,2466.440122517503,9832.732943797011
Elliptical lunar frozen orbit (12 h relay),0.3055555555555556,6149.710951378019,0.5989565980696071,56.99713275019185,355.97059225845476,89.85831463262552,2466.3010008292335,9833.120901926804
Elliptical lunar frozen orbit (12 h relay),0.3125,6149.736858683099,0.5989888411341173,56.99690009998456,355.8788403104802,89.85535567327291,2466.1131044207423,9833.360612945457
Elliptical lunar frozen orbit (12 h relay),0.3194444444444444,6149.674886525363,0.5990233522444447,56.99665116210261,355.78704608109507,89.85154426375996,2465.876020785465,9833.47375226526
Elliptical lunar frozen orbit (12 h relay),0.32638888888888884,6149.5362971330405,0.599060651340559,56.99639047120623,355.6952098742165,89.84699962656889,2465.591077530112,9833.481516735968
Elliptical lunar frozen orbit (12 h relay),0.33333333333333337,6149.332137478768,0.5991010305865667,56.99612226104598,355.60333295908634,89.8418476798198,2465.260916496143,9833.403358461394
Elliptical lunar frozen orbit (12 h relay),0.3402777777777778,6149.072842989828,0.5991445850138876,56.99585042674345,355.51141736952616,89.83621275808976,2464.889146256522,9833.256539723134
Elliptical lunar frozen orbit (12 h relay),0.3472222222222222,6148.768074371797,0.5991912468442715,56.99557850947783,355.4194657466871,89.83021264608205,2464.4800653327097,9833.056083410884
Elliptical lunar frozen orbit (12 h relay),0.3541666666666667,6148.426674606519,0.5992408180787062,56.9953096936585,355.3274812140912,89.82395574745497,2464.038444218369,9832.814904994668
Elliptical lunar frozen orbit (12 h relay),0.3611111111111111,6148.056685608651,0.5992929993894615,56.99504681095681,355.23546727675443,89.81753961102756,2463.569354073811,9832.544017143491
Elliptical lunar frozen orbit (12 h relay),0.3680555555555556,6147.665393618145,0.5993474148728336,56.99479234812334,355.1434277382293,89.81105032970102,2463.0780324499287,9832.252754786363
Elliptical lunar frozen orbit (12 h relay),0.37499999999999994,6147.259385680952,0.5994036328950445,56.99454845672891,355.05136663126143,89.80456248172715,2462.5697775556296,9831.948993806272
Elliptical lunar frozen orbit (12 h relay),0.3819444444444444,6146.844608802764,0.5994611834783717,56.99431696383801,354.95928815882166,89.79813941347865,2462.04986495221,9831.639352653317
Elliptical lunar frozen orbit (12 h relay),0.3888888888888889,6146.426427556032,0.5995195727100072,56.99409938312789,354.8671966430848,89.79183373470931,2461.5234820141436,9831.32937309792
Elliptical lunar frozen orbit (12 h relay),0.3958333333333333,6146.009677368805,0.5995782946859615,56.99389692604201,354.77509648066183,89.78568792900857,2460.9956758886005,9831.02367884901
Elliptical lunar frozen orbit (12 h relay),0.4027777777777778,6145.598713211076,0.5996368413665296,56.99371051291462,354.682992102766,89.77973503246116,2460.4713125149774,9830.726113907174
Elliptical lunar frozen orbit (12 h relay),0.4097222222222222,6145.197453296968,0.5996947107232552,56.993540784029385,354.5908879392071,89.7739993404286,2459.9550442047585,9830.43986238918
Elliptical lunar frozen orbit (12 h relay),0.4166666666666667,6144.809417866421,0.5997514134630964,56.993388110511454,354.49878838563126,89.76849711783306,2459.4512840396887,9830.167551693154
Elliptical lunar frozen orbit (12 h relay),0.4236111111111111,6144.437763569229,0.5998064785817087,56.99325260520699,354.4066977732045,89.7632373011165,2458.9641857383003,9829.911341400157
Elliptical lunar frozen orbit (12 h relay),0.4305555555555556,6144.085313789184,0.5998594579251046,56.99313413353023,354.31462034047064,89.75822218267496,2458.497628014007,9829.67299956436
Elliptical lunar frozen orbit (12 h relay),0.4375,6143.754585049221,0.5999099299795189,56.99303232425521,354.2225602068758,89.75344806823945,2458.0552021209946,9829.453967977446
Elliptical lunar frozen orbit (12 h relay),0.4444444444444444,6143.447810552375,0.5999575029213551,56.99294658061989,354.1305213477639,89.74890591625598,2457.640202805706,9829.255418299043
Elliptical lunar frozen orbit (12 h relay),0.4513888888888889,6143.166960093698,0.6000018171918423,56.9928760912191,354.03850757059155,89.74458194075056,2457.255620724594,9829.078299462804
Elliptical lunar frozen orbit (12 h relay),0.4583333333333333,6142.913757863642,0.600042547531399,56.99281984145294,353.9465224921064,89.7404581980358,2456.904137329463,9828.923378397822
Elliptical lunar frozen orbit (12 h relay),0.4652777777777778,6142.689697660564,0.6000794046244919,56.99277662513017,353.8545695165044,89.73651314627008,2456.588121095412,9828.791274225716
Elliptical lunar frozen orbit (12 h relay),0.4722222222222222,6142.496055697319,0.60011213645615,56.99274505628829,353.7626518142458,89.7327221799034,2456.3096245393267,9828.682486855312
Elliptical lunar frozen orbit (12 h relay),0.4791666666666667,6142.33390164577,0.6001405293428843,56.99272358157388,353.67077230155894,89.72905814811229,2456.0703825113337,9828.597420780206
Elliptical lunar frozen orbit (12 h relay),0.4861111111111111,6142.204107905391,0.6001644086919878,56.992710493152465,353.5789336206019,89.72549185595467,2455.871811418853,9828.536404391927
