arc,arc_hours,phase,start_days_from_perilune,separation_km,model,burn_m_s,n_measurements,excluded_fraction,separation_min_km,separation_max_km,target_moon_distance_min_km,los_departure_max_arcsec,range_sigma_km,cross_range_sigma_km,range_sigma_weaker_prior_km,prior_limited,scale_information_ratio
12 h,12.0,0.375,2.4603181312696987,10.0,nonlinear,0.0,73,0.0,9.822143549024002,10.000000000001323,68021.85026987971,0.6434482649355566,953.774243040317,0.0003981150974693546,7388.419521833595,True,147.21425570383113
12 h,12.0,0.375,2.4603181312696987,10.0,linear,0.0,73,0.0,9.822143549024002,10.000000000001323,68021.85026987971,0.6434482649355566,957.0008852888378,0.0003978176930634498,9570.00865516314,True,4.3130774232458085e-10
12 h,12.0,0.4166666666666667,2.7336868125218876,10.0,nonlinear,0.0,73,0.0,9.826703249152777,10.000000000000643,69801.85227248151,0.5975169092603223,952.5985850229926,0.00039815945024056167,6774.737680270677,True,126.64927782141926
12 h,12.0,0.4166666666666667,2.7336868125218876,10.0,linear,0.0,73,0.0,9.826703249152777,10.000000000000643,69801.85227248151,0.5975169092603223,957.3348358644139,0.0003979171026034779,9573.348151974242,True,4.3841945074985463e-10
12 h,12.0,0.4583333333333333,3.007055493774076,10.0,nonlinear,0.0,73,0.0,9.827739659733814,10.000000000001762,70861.50152582562,0.5781812451873672,935.0926921907944,0.000398161132906586,3959.718048262324,True,118.96485915463423
12 h,12.0,0.4583333333333333,3.007055493774076,10.0,linear,0.0,73,0.0,9.827739659733814,10.000000000001762,70861.50152582562,0.5781812451873672,957.4868219508637,0.0003980916652338203,9574.86804510667,True,3.6918235084354037e-10
12 h,12.0,0.5,3.280424175026265,10.0,nonlinear,0.0,73,0.0,9.825941523895441,10.0,70033.60645618502,0.58201764273911,913.6990976104336,0.0003985825331067901,2910.406464085349,True,120.61305917513397
12 h,12.0,0.5,3.280424175026265,10.0,linear,0.0,73,0.0,9.825941523895441,10.0,70033.60645618502,0.58201764273911,957.5298183337912,0.00039830783236687967,9575.297964752064,True,4.6137706050129533e-10
12 h,12.0,0.5416666666666666,-3.0070554937740765,10.0,nonlinear,0.0,73,0.0,9.821379871094713,9.999999999998447,68378.05651748566,0.6080777570093878,945.1974662337379,0.00039973556220503244,5034.343901658371,True,127.81970047190005
12 h,12.0,0.5416666666666666,-3.0070554937740765,10.0,linear,0.0,73,0.0,9.821379871094713,9.999999999998447,68378.05651748566,0.6080777570093878,957.4868219398702,0.000398527774846184,9574.868033651137,True,4.0641787925930877e-10
12 h,12.0,0.5833333333333334,-2.733686812521887,10.0,nonlinear,0.0,73,0.0,9.813426276020252,10.000000000004096,65984.2840418456,0.6623059661629492,935.293602969128,0.0004003691727742811,3985.8735655416504,True,149.63586930151646
12 h,12.0,0.5833333333333334,-2.733686812521887,10.0,linear,0.0,73,0.0,9.813426276020252,10.000000000004096,65984.2840418456,0.6623059661629492,957.3348358725916,0.0003987147224597255,9573.348161598047,True,4.3853058886469267e-10
12 h,12.0,0.625,-2.4603181312696987,10.0,nonlinear,0.0,73,0.0,9.80059580139167,10.000000000003494,62819.462910211354,0.7548482093615781,930.6731100482607,0.00040131853460012394,3686.832246476579,True,190.7505554488553
12 h,12.0,0.625,-2.4603181312696987,10.0,linear,0.0,73,0.0,9.80059580139167,10.000000000003494,62819.462910211354,0.7548482093615781,957.0008853092622,0.00039882103355951036,9570.008675928015,True,4.0172534573906035e-10
12 h,12.0,0.6666666666666666,-2.18694945001751,10.0,nonlinear,0.0,73,0.0,9.780181976115355,9.999999999995259,58834.02159805431,0.9077765865174078,922.0686496987663,0.0004024482552584353,3266.2898521140887,True,270.0798310530372
12 h,12.0,0.6666666666666666,-2.18694945001751,10.0,linear,0.0,73,0.0,9.780181976115355,9.999999999995259,58834.02159805431,0.9077765865174078,956.3445658159533,0.00039882178921990964,9563.445458056309,True,4.242815026393891e-10
12 h,12.0,0.7083333333333334,-1.913580768765321,10.0,nonlinear,0.0,73,0.0,9.747304820961896,9.999999999993166,53953.308229151145,1.1661567494048308,906.1672015105719,0.0004043364125261759,2746.4993095294385,True,434.4286556489084
12 h,12.0,0.7083333333333334,-1.913580768765321,10.0,linear,0.0,73,0.0,9.747304820961896,9.999999999993166,53953.308229151145,1.1661567494048308,955.1076602853732,0.0003986800476313982,9551.076417962644,True,4.2289692455147264e-10
12 h,12.0,0.75,-1.6402120875131325,10.0,nonlinear,0.0,73,0.0,9.69234239492216,10.000000000007228,48061.62300568686,1.632118416266733,868.5522212270507,0.0004089709258696566,2062.7277477012435,True,822.2058293137533
12 h,12.0,0.75,-1.6402120875131325,10.0,linear,0.0,73,0.0,9.69234239492216,10.000000000007228,48061.62300568686,1.632118416266733,952.7800422153729,0.0003983470944454001,9527.800232421116,True,4.19747053937731e-10
