family_index,observer,period_days,perilune_km,apolune_km,jacobi,stability_index,duty_cycle,n_windows,magnitude_min,magnitude_max,lunar_separation_max_deg
0,Sydney 0.5 m telescope,14.783550470045068,50032.0868120305,75020.36788458592,3.1462656329697314,547.1511024166878,0.15099206349206348,11,16.012796505092236,19.312184995958535,4.738401465767817
8,Sydney 0.5 m telescope,14.078977454139482,40608.601507956424,82613.36041363233,3.084791309981834,148.94076210548937,0.18685515873015873,13,15.925090459583362,19.303271235819306,7.237339318013659
16,Sydney 0.5 m telescope,11.424779959407562,22506.91738785766,87803.7635411957,3.0183923724543025,5.905798859621092,0.1888392857142857,12,15.826215867142619,19.814958775683625,10.344493396665602
24,Sydney 0.5 m telescope,8.969571344141261,11594.68156852603,81956.09122273933,3.019421173153091,1.3688365634040944,0.19310515873015874,13,15.82434841901026,19.205994136141452,10.713166690578197
32,Sydney 0.5 m telescope,7.742094689214613,6980.779750449952,77165.40456803095,3.0298780355296215,1.684835100455857,0.18526785714285715,12,15.829846623918382,18.97861943762741,10.543793448391808
40,Sydney 0.5 m telescope,7.05187331211155,4682.445165544031,73886.1963184529,3.0387042235035278,1.5287576175450825,0.19905753968253967,13,15.827875302799047,19.06937460755208,10.33807482374682
48,Sydney 0.5 m telescope,6.606105331943036,3368.9369101604593,71473.84844597917,3.0457395186000933,1.34395531767737,0.18343253968253967,12,15.823882194720898,19.374793640253298,10.169650222659333
56,Sydney 0.5 m telescope,6.28826428260591,2544.735553477826,69575.56455563479,3.0515020479192745,1.182226376489048,0.19265873015873017,13,15.819822004450504,19.32586922991617,9.938822263494401
64,Sydney 0.5 m telescope,6.045189603498303,1992.3028099967958,68006.39162083148,3.0563807755313803,1.0454090600762216,0.19662698412698412,13,15.816080095339952,19.271341865992998,9.799926894793407
