epoch_utc,run,largest_distance_lap_1_km,largest_distance_lap_2_km,days_to_100_km,days_to_1000_km,perilune_radii_km,hit_moon
2026-01-01T00:00:00,"CRTBP, flown straight through",20.977078033112544,20.977078033112544,nan,nan,the check run,False
2026-01-01T00:00:00,"Earth and Moon on real orbits, no Sun",1912.6655919260502,6541.749446728868,0.8333333333333334,6.166666666666667,"3,048, 2,829, 2,225",True
2026-01-01T00:00:00,"Earth, Moon and Sun (full model)",1738.4750055493312,6509.266657459267,0.8333333333333334,6.166666666666667,"3,048, 2,869, 2,268",True
2026-01-01T00:00:00,"Earth, Moon and Sun (full model)",1738.4750055493312,6509.266657459267,0.8333333333333334,6.166666666666667,,False
2026-01-04T16:35:30,"Earth, Moon and Sun (full model)",2955.529792698134,6324.545873405817,0.625,2.0416666666666665,,False
2026-01-08T09:11:01,"Earth, Moon and Sun (full model)",2473.7167786327,2473.7167786327,0.6666666666666666,2.3333333333333335,,False
2026-01-12T01:46:31,"Earth, Moon and Sun (full model)",410.7248078658028,3202.0726120215318,0.875,7.541666666666667,,False
2026-01-15T18:22:01,"Earth, Moon and Sun (full model)",1514.959749089011,4974.5181318902305,0.875,2.9166666666666665,,False
2026-01-19T10:57:32,"Earth, Moon and Sun (full model)",1733.7343949962337,4481.998813913038,0.875,2.6666666666666665,,False
2026-01-23T03:33:02,"Earth, Moon and Sun (full model)",1502.44198462123,2468.8604428541294,0.9166666666666666,2.6666666666666665,,False
2026-01-26T20:08:32,"Earth, Moon and Sun (full model)",626.4716519292049,3480.70166335501,1.0416666666666667,8.208333333333334,,False
