phase,burn_m_s,lowest_perigee_altitude_km
0.0000,184.0,377862.5
0.0000,186.0,377862.5
0.0000,188.0,377862.5
0.0000,190.0,377862.5
0.0000,192.0,377862.5
0.0000,194.0,377862.5
0.0000,196.0,377862.5
0.0000,198.0,377862.5
0.0000,200.0,377862.5
0.0833,-200.0,363880.8
0.0833,-198.0,364033.1
0.0833,-196.0,364202.2
0.0833,-194.0,364097.4
0.0833,-192.0,363978.8
0.0833,-190.0,363870.9
0.0833,-188.0,363774.3
0.0833,-186.0,363689.8
0.0833,-184.0,363618.2
0.0833,-182.0,363560.2
0.0833,-180.0,363516.8
0.0833,-178.0,363488.7
0.0833,-176.0,363476.8
0.0833,-174.0,363482.1
0.0833,-172.0,363505.3
0.0833,-170.0,363547.3
0.0833,-168.0,363609.2
0.0833,-166.0,363691.7
0.0833,-164.0,363795.8
0.0833,-162.0,363922.2
0.0833,-160.0,364072.0
0.0833,-158.0,364245.9
0.0833,-156.0,364444.7
0.0833,-154.0,364669.1
0.0833,-152.0,364920.0
0.0833,-150.0,364856.6
0.0833,-148.0,364696.3
0.0833,-146.0,364553.0
0.0833,-144.0,364428.2
0.0833,-142.0,364323.3
0.0833,-140.0,364239.7
0.0833,-138.0,364178.8
0.0833,-136.0,364142.2
0.0833,-134.0,364131.3
0.0833,-132.0,364147.7
0.0833,-130.0,364192.8
0.0833,-128.0,364268.2
0.0833,-126.0,364375.2
0.0833,-124.0,364515.3
0.0833,-122.0,364689.8
0.0833,-120.0,364900.1
0.0833,-118.0,365147.1
0.0833,-116.0,365432.0
0.0833,-114.0,365557.8
0.0833,-112.0,365621.9
0.0833,-110.0,365795.3
0.0833,-108.0,366086.2
0.0833,-106.0,365932.6
0.0833,-104.0,365774.5
0.0833,-102.0,365646.9
0.0833,-100.0,365552.6
0.0833,-98.0,365494.2
0.0833,-96.0,365421.8
0.0833,-94.0,365293.9
0.0833,-92.0,365297.9
0.0833,-90.0,365448.2
0.0833,-88.0,365757.9
0.0833,-86.0,366043.6
0.0833,-84.0,366307.5
0.0833,-82.0,366626.0
0.0833,-80.0,367000.3
0.0833,-78.0,366662.1
0.0833,-76.0,366305.0
0.0833,-74.0,366100.7
0.0833,-72.0,366072.9
0.0833,-70.0,366245.1
0.0833,-68.0,366638.4
0.0833,-66.0,367270.4
0.0833,-64.0,368152.6
0.0833,-62.0,368174.2
0.0833,-60.0,368147.2
0.0833,-58.0,368181.2
0.0833,-56.0,368281.1
0.0833,-54.0,368451.6
0.0833,-52.0,368580.3
0.0833,-50.0,368891.1
0.0833,-48.0,369427.5
0.0833,-46.0,369917.7
0.0833,-44.0,370493.0
0.0833,-42.0,371152.9
0.0833,-40.0,371894.8
0.0833,-38.0,372713.3
0.0833,-36.0,372724.7
0.0833,-34.0,372068.2
0.0833,-32.0,371760.0
0.0833,-30.0,371902.8
0.0833,-28.0,372276.3
0.0833,-26.0,371347.7
0.0833,-24.0,371290.1
0.0833,-22.0,372061.5
0.0833,-20.0,372155.3
0.0833,-18.0,371171.5
0.0833,-16.0,361048.8
0.0833,-14.0,355443.2
0.0833,-12.0,365004.7
0.0833,-10.0,364395.3
0.0833,-8.0,365079.7
0.0833,-6.0,367145.8
0.0833,-4.0,370417.7
0.0833,-2.0,374469.7
0.0833,2.0,358525.4
0.0833,4.0,373071.9
0.0833,6.0,368402.3
0.0833,8.0,362720.1
0.0833,10.0,359617.6
0.0833,12.0,369914.4
0.0833,14.0,376684.9
0.0833,16.0,376494.6
0.0833,18.0,376327.6
0.0833,20.0,376034.3
0.0833,22.0,375759.5
0.0833,24.0,375523.3
0.0833,26.0,375349.8
0.0833,28.0,375267.4
0.0833,30.0,375308.4
0.0833,32.0,375508.5
0.0833,34.0,375029.9
0.0833,36.0,375235.0
0.0833,38.0,377430.0
0.0833,40.0,378609.0
0.0833,42.0,380073.0
0.0833,44.0,381795.2
0.0833,46.0,383715.1
0.0833,48.0,385740.2
0.0833,50.0,387761.8
0.0833,52.0,389689.8
0.0833,54.0,391489.1
0.0833,56.0,393180.3
0.0833,58.0,394803.3
0.0833,60.0,396391.2
0.0833,62.0,397965.6
0.0833,64.0,399540.2
0.0833,66.0,401123.6
0.0833,68.0,402721.5
0.0833,70.0,404337.6
0.0833,72.0,405974.5
0.0833,74.0,407633.9
0.0833,76.0,409317.2
0.0833,78.0,411025.2
0.0833,80.0,412758.5
0.0833,82.0,414517.6
0.0833,84.0,416302.9
0.0833,86.0,418114.5
0.0833,88.0,419952.5
0.0833,90.0,421817.2
0.0833,92.0,423708.4
0.0833,94.0,425626.3
0.0833,96.0,427570.8
0.0833,98.0,429541.9
0.0833,100.0,431539.6
0.0833,102.0,433563.8
0.0833,104.0,435614.4
0.0833,106.0,437691.6
0.0833,108.0,439795.0
0.0833,110.0,441924.8
0.0833,112.0,444080.7
0.0833,114.0,446262.5
0.0833,116.0,448470.1
0.0833,118.0,450702.7
0.0833,120.0,452958.3
0.0833,122.0,inf
0.0833,124.0,inf
0.0833,126.0,inf
0.0833,128.0,inf
0.0833,130.0,inf
0.0833,132.0,inf
0.0833,134.0,469484.1
0.0833,136.0,471244.2
0.0833,138.0,471355.2
0.0833,140.0,inf
0.0833,142.0,inf
0.0833,144.0,inf
0.0833,146.0,inf
0.0833,148.0,438217.3
0.0833,150.0,434686.5
0.0833,152.0,430866.9
0.0833,154.0,427073.3
0.0833,156.0,423382.7
0.0833,158.0,419821.3
0.0833,160.0,416398.0
0.0833,162.0,413114.0
0.0833,164.0,409967.5
0.0833,166.0,406954.9
0.0833,168.0,404072.3
0.0833,170.0,401315.3
0.0833,172.0,398679.6
0.0833,174.0,396161.3
0.0833,176.0,393756.5
0.0833,178.0,391461.5
0.0833,180.0,389273.3
0.0833,182.0,387188.7
0.0833,184.0,385205.0
0.0833,186.0,383319.7
0.0833,188.0,381530.7
0.0833,190.0,379835.9
0.0833,192.0,378233.5
0.0833,194.0,376721.9
0.0833,196.0,375299.8
0.0833,198.0,373965.7
0.0833,200.0,372718.7
0.1667,-200.0,362946.3
0.1667,-198.0,362920.5
0.1667,-196.0,362907.4
