hours,radial_km,along_track_km,cross_track_km,radial_m_s,along_track_m_s,cross_track_m_s
0.0,-75.65471091779365,-1469.757404129127,-2.5006038906205674e-13,-59.455396682297604,38.71659672601187,0.0016038371415376096
0.015037593984962407,-78.86623685634551,-1467.6487393281539,0.0001233378078231706,-59.1925000950467,39.186523121989126,0.0015951624923100209
0.030075187969924814,-82.06350730292303,-1465.5146885273216,0.0002465559414952835,-58.92873627676862,39.65446715004469,0.0015864389803568384
0.045112781954887216,-85.24647543210438,-1463.3553592458,0.0003696500227923401,-58.664109687522334,40.12042128901319,0.001577666672334126
0.06015037593984963,-88.41509465951644,-1461.1708594094994,0.0004926156724901001,-58.398624794598675,40.584378047591315,0.0015688456372528793
0.07518796992481204,-91.56931864235364,-1458.961297349336,0.0006154485041125722,-58.13228607242028,41.046329964496394,0.0015599759479275259
0.09022556390977443,-94.70910127982768,-1456.7267817995432,0.0007381441082615625,-57.865098002448974,41.50626960860684,0.001551057678804061
0.10526315789473685,-97.83439671358184,-1454.467421895916,0.0008606980632025647,-57.59706507309011,41.96418957911317,0.0015420909082474372
0.12030075187969926,-100.94515932821781,-1452.1833271741182,0.000983105926946181,-57.32819177960503,42.42008250566477,0.0015330757162843893
0.13533834586466165,-104.04134375167995,-1449.8746075679678,0.0011053632379983032,-57.058482624025565,42.87394104851438,0.0015240121857657892
0.15037593984962408,-107.12290485568296,-1447.5413734077515,0.001227465509108603,-56.78794211507084,43.32575789866277,0.0015149004028340788
0.16541353383458648,-110.18979775615374,-1445.183735418506,0.0013494082341888695,-56.516574768065944,43.77552577800444,0.001505740456553591
0.18045112781954886,-113.24197781361211,-1442.8018047183498,0.0014711868783105937,-56.24438510486656,44.22323743946666,0.001496532437730417
0.19548872180451127,-116.27940063361137,-1440.3956928167734,0.001592796882872883,-55.971377653780266,44.66888566715788,0.0014872764417187736
0.2105263157894737,-119.30202206710278,-1437.9655116129436,0.0017142336687698927,-55.697556949495535,45.11246327650232,0.0014779725652289612
0.22556390977443613,-122.30979821081355,-1435.5113733940198,0.0018354926329733345,-55.422927533007524,45.55396311438616,0.0014686209090466417
0.2406015037593985,-125.30268540764267,-1433.0333908334644,0.0019565691469487605,-55.14749395155182,45.99337805929404,0.0014592215753331111
0.2556390977443609,-128.28064024696602,-1430.5316769893402,0.0020774585600730547,-54.871260758532685,46.430701021445806,0.0014497746703285828
0.2706766917293233,-131.24361956511137,-1428.0063453025973,0.0021981562044689346,-54.59423251345449,46.865924942945384,0.0014402803034208767
0.28571428571428575,-134.1915804455323,-1425.4575095953985,0.002318657388086613,-54.31641378185828,47.29904279790143,0.0014307385854765314
0.30075187969924816,-137.12448021925894,-1422.8852840693762,0.0024389574040393873,-54.0378091352536,47.7300475925787,0.0014211496315814094
0.3157894736842105,-140.04227646519067,-1420.2897833039342,0.0025590515268527313,-53.75842315105261,48.1589323655238,0.001411513558572018
0.33082706766917297,-142.9449270103819,-1417.6711222545218,0.0026789350152149616,-53.478260412509826,48.58569018770399,0.0014018304874668644
0.3458646616541353,-145.83238993032873,-1415.0294162508924,0.002798603115478082,-53.19732550865014,49.01031416263705,0.0013921005408342676
0.3609022556390977,-148.70462354931735,-1412.364780995375,0.002918051057073344,-52.91562303420893,49.432797426529234,0.0013823238452521458
0.3759398496240602,-151.56158644059383,-1409.6773325610977,0.0030372740607632377,-52.633157589565364,49.85313314839886,0.0013725005295324919
0.39097744360902253,-154.40323742670842,-1406.967187390246,0.003156267336307597,-52.34993378067768,50.271314530209885,0.001362630725213684
0.406015037593985,-157.22953557970163,-1404.2344622922744,0.0032750260812966503,-52.065956219014936,50.68733480699997,0.001352714567250082
0.4210526315789474,-160.0404402213598,-1401.479274442115,0.0033935454853186928,-51.78122952149379,51.101187247006834,0.0013427521927679136
0.43609022556390975,-162.83591092339537,-1398.7017413783708,0.0035118207307936224,-51.4957583104064,51.51286515179111,0.0013327437418046318
0.45112781954887227,-165.61590750767706,-1395.9019810015188,0.003629846980886687,-51.209547213355556,51.92236185636411,0.0013226893577354703
0.4661654135338346,-168.38039004637622,-1393.0801115720283,0.003747619401763859,-50.92260086317942,52.32967072930509,0.0013125891863172514
0.481203007518797,-171.1293188621709,-1390.2362517085373,0.0038651331429204183,-50.634923897885066,52.73478517288516,0.0013024433760936125
0.4962406015037594,-173.86265452834277,-1387.370520385968,0.003982383348517023,-50.346520960568625,53.13769862318653,0.0012922520794969362
0.5112781954887218,-176.5803578688818,-1384.483036933668,0.004099365136207931,-50.05739669934838,53.538404550205385,0.0012820154501823901
0.5263157894736843,-179.28238995866766,-1381.5739210334436,0.004216073620896734,-49.76755576727867,53.93689645798453,0.0012717336459995836
0.5413533834586466,-181.9687121234972,-1378.6432927176634,0.0043325038968153665,-49.477002822276596,54.333167884709944,0.0012614068270837403
0.5563909774436091,-184.63928594013575,-1375.6912723673156,0.004448651030605766,-49.18574252703782,54.72721240282556,0.0012510351572028971
0.5714285714285715,-187.29407323636562,-1372.7179807099985,0.004564510069071746,-48.89377954895396,55.119023619135206,0.0012406188028159307
0.5864661654135338,-189.93303609103904,-1369.7235388179392,0.004680076027592864,-48.60111856002418,55.5085951749123,0.0012301579335879764
0.6015037593984963,-192.5561368340053,-1366.7080681059683,0.004795343887290405,-48.30776423676577,55.895920745992456,0.001219652723193772
0.6165413533834587,-195.16333804609542,-1363.6716903294976,0.004910308576689618,-48.01372126012599,56.28099404287422,0.0012091033483330282
0.631578947368421,-197.75460255907365,-1360.6145275823824,0.005024964991641196,-47.718994315381316,56.66380881081108,0.0011985099894591255
0.6466165413533834,-200.3298934608819,-1357.5367022959454,0.005139307994070971,-47.42358809220996,57.044358830352714,0.0011878728305054081
0.6616541353383459,-202.88917414870792,-1354.4383372468646,0.005253332731056971,-47.12750728618008,57.42263792193749,0.0011771920556291606
0.6766917293233082,-205.43240825398178,-1351.3195555392829,0.005367034178302508,-46.83075659625696,57.79863993967496,0.0011664678508929397
0.6917293233082706,-207.95955965821847,-1348.180480606471,0.005480407211736794,-46.53334072523219,58.17235877276428,0.001155700409738674
0.7067669172932332,-210.47059250649986,-1345.021236211141,0.005593446678865514,-46.23526438001936,58.54378834672162,0.0011448899266213559
0.7218045112781954,-212.96547114760793,-1341.8419464475169,0.005706147570062187,-45.93653227247089,58.91292261875678,0.0011340365940267245
0.736842105263158,-215.44416017475518,-1338.6427357384325,0.005818504942383101,-45.637149118864336,59.27975558109449,0.0011231406088802263
0.7518796992481204,-217.9066244774195,-1335.4237288285585,0.00593051370543227,-45.337119638952124,59.64428126515813,0.001112202174516273
0.7669172932330828,-220.35282919848322,-1332.1850507844672,0.006042168779149537,-45.036448556462624,60.006493738286004,0.0011012214950477353
0.7819548872180451,-222.78273973479392,-1328.9268269927557,0.006153465071388493,-44.735140599040534,60.366387103882616,0.001090198779272461
0.7969924812030076,-225.196321737693,-1325.6491831580622,0.006264397499088255,-44.433200498181364,60.72395550155981,0.0010791342374670164
0.81203007518797,-227.59354111358746,-1322.3522453011765,0.006374960959433171,-44.13063298917379,61.07919310728908,0.001068028085058599
0.8270676691729323,-229.97436402438066,-1319.036139757031,0.006485150357859581,-43.82744281103934,61.43209413352762,0.0010568805377338928
0.8421052631578948,-232.33875688799495,-1315.70099317281,0.006594960583299839,-43.52363470647878,61.78265282936947,0.001045691815157192
0.8571428571428572,-234.68668637883312,-1312.3469325059314,0.006704386520185214,-43.219213421810885,62.13086348068217,0.0010344621411232477
0.8721804511278195,-237.0181194281593,-1308.974085022094,0.006813423050779782,-42.91418370692274,62.476720410231586,0.0010231917407491273
0.8872180451127819,-239.33302322452235,-1305.5825782933125,0.006922065047178499,-42.60855031521447,62.82021797782419,0.0010118808431792718
0.9022556390977445,-241.63136521412738,-1302.172540195906,0.007030307379142422,-42.3023180035482,63.161350580427765,0.0010005296795273769
0.9172932330827068,-243.91311310115594,-1298.7440989085362,0.007138144906263487,-41.995491532195125,63.500112652304026,0.0009891384850269323
0.9323308270676692,-246.17823484809756,-1295.297382910162,0.00724557249055088,-41.68807566478471,63.836498665130556,0.0009777074978333184
0.9473684210526316,-248.42669867601552,-1291.8325209780799,0.0073525849799270515,-41.380075168257704,64.17050312811884,0.0009662369572073988
0.962406015037594,-250.65847306481913,-1288.3496421858597,0.007459177227148953,-41.071494812811395,64.50212058813975,0.0009547271074895769
0.9774436090225564,-252.87352675346173,-1284.8488759013344,0.0075653440777217855,-40.76233937185418,64.83134562983258,0.0009431781943247977
0.9924812030075189,-255.07182874012136,-1281.3303517845582,0.007671080383985732,-40.45261362195361,65.15817287572006,0.0009315904674671368
1.0075187969924813,-257.2533482824121,-1277.794199785778,0.007776380981943699,-40.14232234278829,65.48259698632081,0.0009199641786292605
1.0225563909774436,-259.4180548974299,-1274.240550143336,0.007881240725853,-39.831470317100596,65.80461266025047,0.0009082995822679948
1.037593984962406,-261.5659183618998,-1270.6695333816417,0.00798565445988518,-39.520062330642986,66.12421463432888,0.0008965969359220132
1.0526315789473686,-263.6969087122014,-1267.0812803090698,0.008089617037797432,-39.20810317213265,66.44139768367747,0.0008848564990210422
1.0676691729323309,-265.8109962443938,-1263.4759220159085,0.008193123305928491,-38.89559763320024,66.75615662181922,0.0008730785355980298
1.0827067669172932,-267.9081515141845,-1259.8535898722232,0.008296168126037482,-38.58255050833606,67.06848630076601,0.0008612633105390304
1.0977443609022557,-269.98834533690655,-1256.2144155257747,0.008398746356799453,-38.2689665948453,67.37838161111259,0.0008494110926721619
1.1127819548872182,-272.0515487873926,-1252.5585308998911,0.00850085287055942,-37.954850692792945,67.68583748211874,0.0008375221516502123
1.1278195488721805,-274.0977331998435,-1248.8860681913825,0.008602482529493274,-37.640207604952124,67.99084888179048,0.0008255967618464924
1.142857142857143,-276.1268701676768,-1245.1971598683401,0.008703630214364731,-37.32504213674797,68.29341081696187,0.0008136352002042973
1.1578947368421053,-278.13893154329713,-1241.4919386680374,0.008804290808771525,-37.00935909621231,68.59351833335971,0.0008016377450212284
1.1729323308270676,-280.1338894378153,-1237.7705375947792,0.008904459201479302,-36.69316329391966,68.89116651567686,0.0007896046788533115
1.1879699248120303,-282.11171622082065,-1234.033089917698,0.009004130285004616,-36.37645954293655,69.18635048763772,0.0007775362866061698
1.2030075187969926,-284.0723845199694,-1230.2797291686288,0.009103298949530124,-36.05925265876471,69.47906541205467,0.0007654328568431215
1.218045112781955,-286.01586722061404,-1226.510589139879,0.009201960107910623,-35.74154745927989,69.76930649088057,0.0007532946807614514
1.2330827067669174,-287.9421374654221,-1222.7258038820723,0.009300108652912729,-35.42334876467717,70.05706896526307,0.0007411220535964824
1.2481203007518797,-289.85116865381065,-1218.9255077019363,0.0093977394904729,-35.10466139740875,70.34234811558467,0.0007289152744154077
1.263157894736842,-291.74293444148526,-1215.1098351600706,0.009494847524693824,-34.785490182121926,70.62513926150159,0.0007166746455058988
1.2781954887218046,-293.61740873985246,-1211.2789210687547,0.009591427650592656,-34.46583994559982,70.90543776197859,0.0007044004731190176
1.2932330827067668,-295.4745657561903,-1207.4329004954827,0.009687474836704308,-34.145715517608636,71.1832390188319,0.0006920930627202573
1.3082706766917296,-297.3143799755576,-1203.571908757015,0.009782984084071543,-33.825121730337926,71.45853847528429,0.0006797527166719359
1.3233082706766919,-299.1368261157574,-1199.6960814110628,0.009877950333889336,-33.50406341734294,71.7313316121546,0.0006673797463579739
1.3383458646616542,-300.9418791611653,-1195.8055542591749,0.009972368523935172,-33.18254541426384,72.00161395083633,0.0006549744650071348
1.3533834586466165,-302.7295143628962,-1191.9004633443549,0.01006623357698291,-32.860572558757134,72.26938105339528,0.0006425371893352556
1.368421052631579,-304.4997072392914,-1187.9809449485756,0.01015954040130291,-32.53814969041796,72.53462852268927,0.0006300682382371494
1.3834586466165413,-306.2524335765552,-1184.0471355903194,0.010252283893662749,-32.215281650706956,72.79735200250013,0.0006175679336219402
1.398496240601504,-307.98766942943405,-1180.0991720221998,0.010344458908069683,-31.891973282876254,73.05754717767186,0.0006050366003455238
1.4135338345864663,-309.7053911219984,-1176.1371912284071,0.010436060278526133,-31.56822943189934,73.31520977424807,0.0005924745651121941
1.4285714285714286,-311.40557518422867,-1172.161330426891,0.010527083127604211,-31.244054945347504,73.57033555456735,0.0005798821556784094
1.443609022556391,-313.08819840309917,-1168.1717270657825,0.010617522644225386,-30.91945467279238,73.8229203213603,0.0005672597010091961
1.4586466165413536,-314.75323786561904,-1164.1685188167783,0.010707373833433384,-30.594433465012152,74.07295992121415,0.000554607536069764
1.473684210526316,-316.4006709184733,-1160.151843575033,0.010796631721943836,-30.268996174484858,74.32045024147675,0.0005419259980896097
