time_s,day,jd_utc,ra_deg,dec_deg,ra_true_deg,dec_true_deg,elevation_deg,sun_elevation_deg,lunar_separation_deg,range_km,apparent_magnitude
36900.0,0.4270833333333333,2461041.9270833335,73.84042284620102,25.267159231260294,73.8402308549832,25.26670277673613,25.044073577237054,-12.162063573105995,3.854607917446079,385189.2203955334,15.847425742117583
37500.0,0.4340277777777778,2461041.934027778,73.9351280605144,25.239431540323096,73.93494448436097,25.240155516562876,25.978989198137654,-13.761903034500563,3.896952423938398,385162.1870143557,15.846676181174342
38100.0,0.4409722222222222,2461041.940972222,74.0291479425767,25.213496726826754,74.02864496709522,25.21324874095322,26.845492575432466,-15.321298262648956,3.938930089039637,385142.64240600937,15.845977522156982
38700.0,0.4479166666666667,2461041.9479166665,74.12110141366522,25.18629234397288,74.1213997210182,25.18596950058166,27.640566238317586,-16.837552862025305,3.980541417965593,385130.74123305466,15.845330131265083
39300.0,0.4548611111111111,2461041.954861111,74.21347953058908,25.158469419231967,74.21327699036898,25.15830601228938,28.361290314833873,-18.30782459489663,4.021786857500647,385126.62468108657,15.844734296419535
39900.0,0.4618055555555556,2461041.9618055555,74.30436155638084,25.130551407390286,74.30434576624677,25.130247677953278,29.004884109563953,-19.72912769866754,4.06266681683242,385130.420132712,15.844190225738227
40500.0,0.46875,2461041.96875,74.39426653452313,25.101694589792427,74.39467567568258,25.10178509531909,29.568749263009313,-21.09833764239471,4.103181687300666,385142.24089706,15.843698046538275
41100.0,0.4756944444444444,2461041.9756944445,74.48406902818144,25.073242759882074,74.48433687224404,25.07291006754172,30.05051358724817,-22.412199547150077,4.1433318614747,385162.18596139294,15.843257804472426
41700.0,0.4826388888888889,2461041.982638889,74.57342199105169,25.043453134237094,74.5733999232142,25.04361561020985,30.44807404490014,-23.667340777349615,4.183117751486496,385190.339771248,15.842869462868695
42300.0,0.4895833333333333,2461041.9895833335,74.66150130018067,25.01375307121407,74.66193569377087,25.01389595579219,30.759637238951083,-24.860288307879223,4.222539806582058,385226.7720397263,15.842532902275462
42900.0,0.4965277777777778,2461041.996527778,74.75001975205598,24.98359344272802,74.75001522862236,24.983746555453184,30.983755718187766,-25.987491421348206,4.2615985298773955,385271.5375864333,15.842247920213122
43500.0,0.5034722222222222,2461042.003472222,74.83842855074954,24.953723368791707,74.83770962640821,24.953164077505427,31.119358452506074,-27.04535011669005,4.300294494306228,385324.6762068024,15.84201423116603
44100.0,0.5104166666666666,2461042.0104166665,74.92358373693143,24.921096954860904,74.92508993830863,24.92214640666422,31.165774040654476,-28.030249926306624,4.338628357827296,385386.21256969,15.841831466612856
44700.0,0.5173611111111112,2461042.017361111,75.01212991816719,24.890458083268115,75.01222701377388,24.89069263349677,31.122745406612104,-28.938602126539756,4.376600877608174,385456.1561511751,15.84169917560791
45300.0,0.5243055555555556,2461042.0243055555,75.0993100877876,24.85892378274947,75.09919139723344,24.858803048343347,30.990435352231884,-29.766890485620248,4.41421292356158,385534.5011926295,15.841616825216345
45900.0,0.53125,2461042.03125,75.18722977575199,24.82586133958287,75.18605319866585,24.826479128895475,30.76942256847801,-30.511722810371676,4.451465490922726,385621.22669366334,15.841583801331165
46500.0,0.5381944444444444,2461042.0381944445,75.27267218892952,24.79485839894921,75.27288196948903,24.793723525833936,30.46068836804104,-31.16988663336533,4.488359711975812,385716.29643521726,15.841599409653622
47100.0,0.5451388888888888,2461042.045138889,75.36010585847212,24.760908414366497,75.35974657902979,24.76054004582629,30.06559482213276,-31.738407420619943,4.524896866901229,385819.6590336143,15.84166287687015
47700.0,0.5520833333333334,2461042.0520833335,75.44642953291043,24.726018034614437,75.44671509200582,24.72693363193158,29.585855409341548,-32.21460732428969,4.561078393750661,385931.24802541116,15.841773352021132
48300.0,0.5590277777777778,2461042.059027778,75.53394768340566,24.692970904854253,75.53385464743664,24.69291034147213,29.0234996015182,-32.5961621507398,4.596905897542109,386050.9819828074,15.841929908056503
48900.0,0.5659722222222222,2461042.065972222,75.62054947176621,24.658097750800042,75.62123133401857,24.658477321167698,28.380833057203446,-32.881153974051415,4.6323811585008805,386178.7646546558,15.8421315435783
49500.0,0.5729166666666666,2461042.0729166665,75.70887006997754,24.623117919346694,75.70891009424405,24.623642781359504,27.66039483042918,-33.06811689656682,4.667506139191418,386314.48516026733,15.84237718472976
50100.0,0.5798611111111112,2461042.079861111,75.79689998367581,24.588469011059868,75.7969545781024,24.588415964933496,26.86491394203039,-33.15607325140519,4.702282991229214,386458.0181677289,15.842665687314746
50700.0,0.5868055555555556,2461042.0868055555,75.88544682273537,24.552525844030495,75.88542705260367,24.552807117174,25.997265898449463,-33.14455858310415,4.736714060673213,386609.22414484085,15.842995839010111
51300.0,0.59375,2461042.09375,75.97471814815815,24.51732254470886,75.97438828811826,24.51682745195648,25.060431117238544,-33.03363364399057,4.770801892762151,386767.9496169014,15.843366361767938
51900.0,0.6006944444444444,2461042.1006944445,76.06407570261018,24.480034543975876,76.06389745355209,24.480489116324424,24.05745602075962,-32.82388281423441,4.804549235756078,386934.0274561439,15.843775914354094
52500.0,0.6076388888888888,2461042.107638889,76.15441848886834,24.443526575459735,76.15401201537735,24.443805153247773,22.991417592686663,-32.516399018476804,4.8379590439398426,387107.27719788766,15.844223095022475
53100.0,0.6145833333333334,2461042.1145833335,76.24527606335808,24.406194025241756,76.24478764079237,24.406789462695578,21.86539188254573,-32.112756039380436,4.871034479805596,387287.50538256724,15.844706444315445
53700.0,0.6215277777777778,2461042.121527778,76.33678614255459,24.36944561480637,76.33627810521952,24.369456761170046,20.68242670263779,-31.614969838315545,4.903778915406533,387474.50592279376,15.84522444798164
54300.0,0.6284722222222222,2461042.128472222,76.42784144924829,24.331648151303874,76.4285351986318,24.33182253989941,19.445518644224467,-31.025451081192227,4.936195933046685,387668.06048535526,15.845775539983439
54900.0,0.6354166666666666,2461042.1354166665,76.52163872234523,24.294054572231634,76.52160866552369,24.293903021487655,18.15759377097318,-30.34695111199817,4.968289324642305,387867.938941207,15.846358105685244
55500.0,0.6423611111111112,2461042.142361111,76.61500043221692,24.25509990871869,76.61554609228632,24.255715115967117,16.82149303401266,-29.58250459083204,5.000063091439354,388073.89974839723,15.846970484965542
56100.0,0.6493055555555556,2461042.1493055555,76.71050373743778,24.217017070114167,76.71039285714176,24.21727637545688,15.439960375568933,-28.735370520592483,5.031521441916731,388285.6904440701,15.84761097556476
123660.0,1.43125,2461042.93125,90.3086819838383,21.420569322480144,90.30855114738733,21.42014736718988,21.6780538757856,-13.115254075010292,7.828787002232561,394238.59611846926,15.819837222200729
124260.0,1.4381944444444446,2461042.9381944444,90.38549761208915,21.404722898533365,90.38641360507046,21.404581571801966,23.021352152527598,-14.694548841620524,7.850098807889719,394152.0566381365,15.819137238233335
124860.0,1.445138888888889,2461042.945138889,90.46394216943037,21.388469991152956,90.46326181000396,21.388635283844273,24.312110906088478,-16.231949014774365,7.871190370534463,394072.05203982093,15.818478015518007
125460.0,1.4520833333333334,2461042.9520833334,90.53869465926701,21.37271354966346,90.53914511181326,21.372295636426138,25.546972152433973,-17.724673004067377,7.8920552544378975,393998.81884432916,15.817860677966426
126060.0,1.4590277777777778,2461042.959027778,90.614255409725,21.35604825782829,90.61411460610489,21.355550545011194,26.722469642707594,-19.169793634268842,7.912687249010741,393932.58133141213,15.817286279399706
126660.0,1.4659722222222222,2461042.9659722224,90.68803125270524,21.337565502780464,90.68822303921083,21.338388735154755,27.835050359036487,-20.56424153831428,7.933080385423148,393873.55108938727,15.816755801109029
127260.0,1.4729166666666667,2461042.972916667,90.76146359137114,21.320552086188343,90.76152470846264,21.320799768495572,28.88110183515408,-21.90481184840866,7.953228952749869,393821.9265882004,15.816270149559198
127860.0,1.479861111111111,2461042.979861111,90.83450608839631,21.302881640608103,90.83407535293962,21.302774066803448,29.856985595870686,-23.188174712742235,7.97312751344435,393777.892782954,15.815830154291522
128460.0,1.4868055555555555,2461042.9868055554,90.90502603932725,21.283638955072913,90.9059320666786,21.284302934561858,30.75907721675787,-24.410890766325306,7.992770918937794,393741.6207130097,15.815436565743571
129060.0,1.49375,2461042.99375,90.9776441490598,21.265756225676522,90.97715315515059,21.265378578444622,31.583811870497787,-25.569430862824426,8.01215432315508,393713.26718889707,15.815090053728287
129660.0,1.5006944444444446,2461043.0006944444,91.04744235062755,21.245993543115855,91.04779804138639,21.245994125780616,32.32773607735905,-26.66020230311761,8.031273196806142,393692.97444458446,15.814791205589355
130260.0,1.507638888888889,2461043.007638889,91.11817468322268,21.226403864833355,91.11792714235946,21.226143640202327,32.98756367496846,-27.679580630126278,8.050123340189694,393680.86984985153,15.814540524790228
130860.0,1.5145833333333334,2461043.0145833334,91.18808854909288,21.20596462714308,91.18760174787282,21.205822135127956,33.560234918040265,-28.623947677854876,8.068700895364833,393677.06564549555,15.814338429639111
131460.0,1.5215277777777778,2461043.021527778,91.25683121454387,21.18488178040487,91.2568838969544,21.185025584885306,34.04297669481348,-29.489735664742014,8.087002357497296,393681.65870852233,15.81418525220651
132060.0,1.5284722222222222,2461043.0284722224,91.32642277587263,21.162500458837073,91.32583625209456,21.16375093343434,34.43336151547986,-30.273476851910075,8.105024585328811,393694.7303480128,15.814081237440053
132660.0,1.5354166666666667,2461043.035416667,91.39444494095268,21.14201443402902,91.39452197168885,21.141996100637915,34.7293626530331,-30.97185786900434,8.122764810740675,393716.34613220894,15.814026542480445
133260.0,1.542361111111111,2461043.042361111,91.46221271546128,21.11994488275582,91.4630045759951,21.11975998630408,34.92940271120534,-31.581777319138173,8.140220647348121,393746.5557481181,15.814021236199796
133860.0,1.5493055555555555,2461043.0493055554,91.530986014517,21.097521606491263,91.5313478373017,21.09704247049331,35.032393084950264,-32.10040509516727,8.157390098276018,393785.3928886238,15.814065298852416
134460.0,1.55625,2461043.05625,91.59954584547539,21.074216165495095,91.59961561885541,21.073844413694655,35.03776191014926,-32.5252406064255,8.174271562603598,393832.875182423,15.814158622129003
135060.0,1.5631944444444446,2461043.0631944444,91.66854889939846,21.050380390838694,91.66787176406226,21.05016765218163,34.94546908645194,-32.854168240607535,8.190863841148797,393889.0041450389,15.81430100921786
135660.0,1.570138888888889,2461043.070138889,91.73569344872381,21.025173703849447,91.73617996047015,21.026014991978172,34.7560072665266,-33.08550680156011,8.207166141022368,393953.7651689909,15.814492175179236
136260.0,1.5770833333333334,2461043.0770833334,91.80557771156406,21.001328371132303,91.80460360927654,21.00139020012852,34.47038883829019,-33.21805061890898,8.223178079171017,394027.1275453919,15.81473174750619
136860.0,1.5840277777777778,2461043.084027778,91.87282315959655,20.976378136345925,91.87320569567856,20.976297993519225,34.09011968083671,-33.251100014529214,8.238899684860344,394109.04451831395,15.815019266891628
137460.0,1.5909722222222222,2461043.0909722224,91.941942320813,20.9512174376658,91.94204866044105,20.950744025296792,33.6171612593551,-33.18447936244622,8.254331401092077,394199.4533717789,15.81535418819907
138060.0,1.5979166666666667,2461043.097916667,92.01121312204185,20.924742507593297,92.01119427305161,20.924734868935733,33.053883229213916,-33.01854166543087,8.269474084954386,394298.27554913575,15.815735881633781
138660.0,1.604861111111111,2461043.104861111,92.0803065129269,20.898538871784833,92.0807035016608,20.898278000618863,32.40300915578653,-32.75415939283506,8.284329007002615,394405.41680007515,15.816163634098896
139260.0,1.6118055555555555,2461043.1118055554,92.15006204070185,20.871751715030204,92.15063641110316,20.87138177645256,31.66755778283478,-32.392702013418,8.298897849135987,394520.7673808719,15.816636650795967
139860.0,1.61875,2461043.11875,92.22189864400566,20.843208365588143,92.221052012054,20.84405541338709,30.850783178564786,-31.936001830290486,8.313182702302827,394644.2022437436,15.817154056911559
