kind,departure_day,sign,earth_closest_km,earth_closest_day,moon_closest_km,impact
unstable,0.0,1,433570.388313586,0.0,50065.11801521226,
unstable,0.0,-1,145042.02761842436,30.0,18760.226474005416,
unstable,2.4639250783408446,1,437852.2742611432,0.0,59640.473276064826,
unstable,2.4639250783408446,-1,137790.4917122709,29.323308270676698,9113.44037704337,
unstable,4.927850156681689,1,436133.9151636355,8.872180451127821,53740.18839973488,
unstable,4.927850156681689,-1,374058.05486713536,15.263157894736844,9848.103696965318,
unstable,7.391775235022534,1,434607.60986091394,6.842105263157895,51332.86743576894,
unstable,7.391775235022534,-1,383246.06057411816,14.651962053698464,1737.0000000000218,moon
unstable,9.855700313363378,1,433922.6077809682,4.661654135338346,50449.629767805774,
unstable,9.855700313363378,-1,385769.6561640181,14.378111618137945,1736.9999999997747,moon
unstable,12.319625391704225,1,433659.4335621386,2.4060150375939853,50158.77662932577,
unstable,12.319625391704225,-1,178404.05185621316,28.421052631578952,4940.13900742106,
stable,0.0,1,145042.0269710928,-30.0,18760.226488918463,
stable,0.0,-1,433570.38831357117,0.0,50065.11801519661,
stable,2.4639250783408446,1,178404.04838494302,-28.421052631578952,4940.128981667414,
stable,2.4639250783408446,-1,433659.4335891606,-2.4060150375939853,50158.77665757982,
stable,4.927850156681689,1,385769.65611952124,-14.378111749272376,1736.9999999999386,moon
stable,4.927850156681689,-1,433922.60780443455,-4.661654135338346,50449.62979545903,
stable,7.391775235022534,1,383246.06068846455,-14.651962091699561,1737.000000000017,moon
stable,7.391775235022534,-1,434607.60988022014,-6.842105263157895,51332.86746266956,
stable,9.855700313363378,1,374058.0549678041,-15.263157894736844,9848.10361972678,
stable,9.855700313363378,-1,436133.9151781896,-8.872180451127821,53740.18842496348,
stable,12.319625391704225,1,137790.4911803012,-29.323308270676698,9113.440517314379,
stable,12.319625391704225,-1,437852.2742534112,0.0,59640.47330061055,
