day,position_error_km,formal_sigma_km,innovation_1,innovation_2
0.4263888888888889,394.1352988520203,589.544819337786,38.13133240037132,-0.0050358626528989245
0.4263888888888889,3.524316230574507,4.946624566060408,0.00352614989614608,0.05853321537469469
0.43333333333333335,500.1480683782454,4.234676566666497,-3.601082271314226,-0.00019174511251739135
0.43333333333333335,342.7233816992151,3.1553202323956477,-0.051835519114888484,0.0592472230341059
0.44027777777777777,385.5098325343303,3.0852143719532035,-1.2311992876348086,-7.693565093271765e-05
0.44027777777777777,291.3190381731938,2.6029064873009577,-0.03781510240381181,0.04775396348389904
0.44722222222222224,314.9954821416809,2.5347245444339657,-0.9075836885022,-4.0579663103803426e-05
0.44722222222222224,251.72692937596915,2.2495821264426596,-0.029335632287910585,0.03988776874146538
0.45416666666666666,268.0233771205056,2.1927555008269244,-0.7101631450932473,-1.5661538798754024e-05
0.45416666666666666,222.51785314337357,1.9995822181966985,-0.026778095540720415,0.032473051832823785
0.46111111111111114,234.66154141570047,1.956656894055261,-0.5789392269216478,3.2493024664085636e-06
0.46111111111111114,198.97174333644784,1.8138143661458117,-0.02462613342174791,0.028506744902642822
0.46805555555555556,208.6039173891409,1.7828043934068685,-0.5054043940617703,1.3645149295912068e-05
0.46805555555555556,179.60651496465798,1.6705603963015567,-0.024249869365633003,0.02445885199949771
0.475,187.20509888324395,1.6487515176089036,-0.43114865984534845,2.07217134773445e-05
0.475,163.69903720423005,1.556601462351426,-0.02257254983197754,0.020897447537095104
0.48194444444444445,169.88474926836764,1.5416232034648336,-0.38041891471948475,2.3031882448419638e-05
0.48194444444444445,150.0770881825787,1.4634766847149572,-0.02130111956623182,0.01841634022352423
0.4888888888888889,155.20244760255602,1.4536308835733667,-0.3449165897327475,2.3988827858756334e-05
0.4888888888888889,138.08477846148,1.3857040770499431,-0.01996739962527272,0.016840464032952696
0.49583333333333335,142.26270051878842,1.3798142044082635,-0.3048752006725408,2.530972811008725e-05
0.49583333333333335,127.19521499830645,1.31962452541015,-0.01951461537908017,0.014921100116254138
0.5027777777777778,130.68394697986517,1.3168786395641863,-0.28402024565730244,2.475890792860702e-05
0.5027777777777778,117.55253521464647,1.26272497378704,-0.0190148478575054,0.012503007612480133
0.5097222222222222,120.48414896771638,1.2625773861241145,-0.27481884113512933,2.4118871913322848e-05
0.5097222222222222,109.3088678941175,1.2132507511401434,-0.017330132624095995,0.01075214883800868
0.5166666666666667,111.64083352850302,1.2153222164349895,-0.22335809015203267,2.0473440480825444e-05
0.5166666666666667,101.47392547504798,1.169937312694076,-0.017459142356244683,0.008802086811044774
0.5236111111111111,103.49523216896432,1.1739432048038752,-0.24414577259449288,1.9927665025148977e-05
0.5236111111111111,94.30790544471344,1.1318366042027064,-0.01646776472057354,0.008211677863386058
0.5305555555555556,95.76738383245522,1.1375596512657753,-0.20016099174972624,2.083505222455484e-05
0.5305555555555556,87.47691896050064,1.0982228326216232,-0.015928274087741556,0.006805968086098346
0.5375,88.5535647678331,1.1054840679513331,-0.1845019098254852,2.000182205474932e-05
0.5375,81.23516916448825,1.068519839762098,-0.014587319473889693,0.006164937848666341
0.5444444444444444,82.03688167643487,1.0771781175089221,-0.18167465354781598,1.7966897195881293e-05
0.5444444444444444,75.58024898574165,1.0422695944166376,-0.013539224235785241,0.005112332148371479
0.5513888888888889,76.09658213155546,1.0522040639625585,-0.17396794393425807,1.716519851185927e-05
0.5513888888888889,70.15654533628276,1.0190935272525339,-0.013203137237667306,0.003987408324093167
0.5583333333333333,70.47375986992766,1.0301911268813644,-0.1730882827541791,1.4407980963554445e-05
0.5583333333333333,65.32311155882569,0.9986656091407803,-0.0115672383050196,0.00413042108556283
0.5652777777777778,65.3294268056507,1.010829453460291,-0.14822144352365285,1.5514200351313123e-05
0.5652777777777778,60.287467881741534,0.9807093188491262,-0.011909148690278926,0.0034228525024104783
0.5722222222222222,60.18733438249224,0.9938374070130072,-0.15044586354633793,1.0966802028278266e-05
0.5722222222222222,56.26813721814822,0.9649697791249097,-0.009615689991392173,0.0023789705606418465
0.5791666666666667,55.948345911431076,0.9789846050311302,-0.13846313080284745,1.2105815326568514e-05
0.5791666666666667,52.28999500127562,0.9512358345384048,-0.009491660584728834,0.0012104585151746505
0.5861111111111111,51.81207483422842,0.9660500842926892,-0.1272806088672951,1.1139987621422431e-05
0.5861111111111111,48.68337771941643,0.9393030789908273,-0.008091960358058259,0.001970687811535754
0.5930555555555556,48.12258123531145,0.9548403379982926,-0.13678419380448759,9.578403297683113e-06
0.5930555555555556,45.44757580565526,0.9289909109561021,-0.007219791689635713,0.001154304779049653
0.5999999999999999,44.800329434394776,0.9451805189783675,-0.10003008006606251,5.882001448687113e-06
0.5999999999999999,42.24177267582989,0.9201350202899379,-0.007384908422920944,-0.0006399059636521542
0.6069444444444444,41.471436954865275,0.9369097219199373,-0.10200783290201798,7.747120681411701e-06
0.6069444444444444,39.08079989282445,0.9125834359437422,-0.00693566773117027,4.4763059548813544e-05
0.6138888888888889,38.25351361836266,0.9298777875555115,-0.09734714071964845,6.35760014544573e-06
0.6138888888888889,35.914701662084966,0.9061938080001234,-0.00700742935055132,-0.0004251411208144873
0.6208333333333335,35.02670971677482,0.9239496308348237,-0.06936403678264469,4.582897648042206e-06
0.6208333333333335,33.2752524275774,0.9008375849323031,-0.005401646953089312,-0.0005480761273588541
0.6277777777777778,32.40389285927822,0.9190066199063535,-0.09209203690988943,2.58409636677559e-06
0.6277777777777778,30.610913158988232,0.8964013719707621,-0.0057454097762956735,-0.0015404868244957015
0.6347222222222222,29.702465218609508,0.9149351588747507,-0.07693211495643482,2.59575405309187e-06
0.6347222222222222,28.267366408607266,0.8927765643199214,-0.004758618148116511,-0.0020325751242182832
0.6416666666666667,27.36181222417953,0.9116325219102314,-0.08055332559160888,2.041461046708992e-06
0.6416666666666667,26.47327965782546,0.8898647125243387,-0.00303656103716321,-0.0018331304085279498
0.6486111111111111,25.5835628412301,0.9090057280469389,-0.06738702632719651,5.348963143525509e-07
0.6486111111111111,24.616058869610427,0.8875765233105659,-0.00340139346945989,-0.001846877175012196
0.6555555555555556,23.764001341903526,0.9069633259150126,-0.08462999889161438,-1.2347273971036188e-06
0.6555555555555556,23.141068175267215,0.8858243090466493,-0.002275570432459517,-0.001090735079657179
0.6625,22.308776061303924,0.9054234988212664,-0.05095150618581101,1.2189977909304872e-06
0.6625,21.648227240995386,0.8845294120133862,-0.0024206928745797995,-0.0031689680704403145
0.6694444444444444,20.869885330439047,0.904304872154409,-0.044839722162578255,6.311447606766052e-07
0.6694444444444444,20.2823590822159,0.8836137325195037,-0.0023638595283728137,-0.001653686862169934
1.4333333333333333,124.38548595281881,2.106593862658626,4.128275661787484,8.05398381460154e-05
1.4333333333333333,94.94296353442792,1.843110479410977,-0.007063039630281764,-0.017113120824177486
1.4402777777777775,99.52259121966287,1.6157182523027571,0.008583979099057615,5.4919469660574816e-06
1.4402777777777775,83.88681916655277,1.4874726046630915,-0.005061964317320644,-0.014190277563074005
1.4472222222222222,88.49002895110517,1.4024759107252307,-0.009564157226122916,8.34166957743021e-06
1.4472222222222222,78.192965852969,1.3162624780058452,-0.005529550029905295,-0.01155165042737849
1.4541666666666668,80.66694366624951,1.272649853820848,0.003393659251742065,4.998690522367566e-06
1.4541666666666668,73.27291884360085,1.2073278743028337,-0.004410325854308894,-0.009995030557604423
1.461111111111111,74.77692341220181,1.180959815751852,-0.004544268129393458,2.5345337835436244e-06
1.461111111111111,68.02170837129458,1.1283612779134862,-0.0037195335207798053,-0.010745385742609415
1.4680555555555557,69.31541332983223,1.1106413145934864,0.00805903208674863,2.3866041238551627e-06
1.4680555555555557,63.55570860621305,1.0667089484192416,-0.003460516534858016,-0.010326483894516514
1.475,64.59803265705888,1.0538300096348354,-0.009735238389112055,1.5467628631249397e-06
1.475,60.13759794743055,1.0162267491303631,-0.0034332721888290507,-0.008784752091827386
1.4819444444444445,61.027798552486956,1.0062614186066903,-0.009531299525406212,1.089529147013657e-06
